CustomerID,Name,Age,Gender,LogInDate,LastUsed
1,Renee Burgess,43,Male,12-09-2020,01-05-2021
2,Angela Edwards,65,Female,28-05-2020,03-07-2023
3,Larry Williamson,69,Female,04-03-2019,20-06-2021
4,Rachel Morris,41,Male,17-02-2018,05-03-2021
5,Erik Gardner,60,Female,12-11-2018,17-07-2020
6,Kenneth Chavez,37,Female,15-11-2019,30-11-2022
7,Philip Garcia,23,Male,14-03-2023,24-04-2023
8,Johnny Ramirez,70,Male,23-11-2021,07-04-2022
9,Lori Gomez,46,Female,10-04-2023,05-01-2024
10,Stephen Gill,46,Female,27-08-2020,23-05-2021
11,Emily Taylor,28,Female,17-02-2021,07-06-2023
12,Samantha Santiago,69,Male,22-08-2021,14-06-2022
13,Amy Garcia DDS,52,Male,25-05-2020,27-09-2021
14,Mary Coleman,30,Male,01-06-2016,15-05-2018
15,Steven Turner,30,Male,09-08-2020,02-09-2024
16,Jonathan Rubio,24,Female,10-06-2021,18-03-2023
17,Tina Nelson,24,Male,12-08-2024,31-08-2024
18,Alejandro Green,65,Female,12-09-2015,02-06-2021
19,Michael Martinez,72,Male,25-01-2015,23-05-2018
20,Courtney Smith,53,Female,07-08-2024,10-09-2024
21,Casey Duran,43,Male,26-11-2020,04-09-2021
22,Juan Green,51,Female,08-09-2015,18-02-2019
23,James Santiago,33,Male,04-04-2024,12-04-2024
24,Kevin Wilson,18,Male,04-07-2019,13-09-2019
25,Kevin Myers,30,Male,13-01-2017,28-06-2021
26,Melissa Thompson,44,Female,04-01-2022,05-02-2024
27,Jessica Brown,19,Female,06-09-2017,03-05-2022
28,Angela Stewart,35,Female,30-05-2019,27-04-2023
29,Elizabeth Hall,52,Female,11-10-2015,06-06-2018
30,Anna Stanton,32,Male,01-02-2019,21-08-2019
31,Aaron Ross,72,Female,30-12-2021,04-08-2022
32,Emily Gray,56,Male,07-05-2022,12-01-2023
33,Dr. Jeffrey Dominguez MD,54,Female,21-10-2018,27-02-2022
34,Karen Blake,67,Female,14-03-2018,27-12-2018
35,David Ramirez,46,Male,25-11-2020,17-08-2023
36,Sara West,17,Male,09-04-2022,16-02-2023
37,Susan Kirk,59,Male,14-05-2022,14-02-2023
38,Sandra Case,68,Male,01-06-2017,09-10-2023
39,Tyrone Waller,74,Male,25-09-2018,08-01-2023
40,Shannon Maxwell,46,Female,17-11-2022,20-10-2023
41,Dr. Robert Garcia DVM,28,Male,25-03-2023,26-01-2024
42,Tracy Mullen,33,Female,29-07-2016,15-06-2023
43,Debra Kane,55,Female,16-09-2016,02-03-2020
44,Mark Martin,59,Male,21-08-2018,10-03-2021
45,Megan Tucker,53,Male,04-12-2020,08-02-2023
46,Amanda Rodriguez,37,Female,13-01-2016,07-02-2020
47,Julia Anderson,72,Male,24-08-2019,20-12-2020
48,Krystal Anderson,35,Male,20-02-2015,12-01-2023
49,Pamela Bush,62,Male,23-05-2019,15-10-2020
50,Joseph Potter,18,Female,12-12-2019,27-02-2022
51,Brian Johnson,50,Male,30-07-2022,29-07-2023
52,Nicole Romero,67,Male,05-03-2018,26-08-2020
53,Mariah Coleman,64,Male,20-09-2021,20-07-2023
54,Amanda Wood,32,Male,28-02-2021,20-01-2023
55,Timothy Brown,28,Male,21-10-2015,18-04-2023
56,Nicholas Thomas,48,Male,11-08-2024,23-08-2024
57,Wendy Davis,20,Female,31-01-2020,30-03-2022
58,Rebecca Palmer,67,Male,04-09-2023,30-05-2024
59,Samantha Murphy,54,Female,22-03-2018,18-06-2023
60,Melanie Delgado,22,Male,02-07-2018,17-08-2018
61,Wanda Martin,30,Male,29-07-2020,01-02-2022
62,Michael Parker,39,Male,10-05-2020,27-06-2024
63,Vanessa Gonzalez,40,Female,21-07-2023,11-09-2023
64,Ryan Wong Jr.,41,Male,18-08-2023,08-08-2024
65,Melissa Osborne,22,Male,04-05-2019,28-05-2022
66,Charlene Roberts,42,Male,01-02-2017,01-02-2021
67,Jessica Russo,67,Female,20-05-2019,11-02-2022
68,Amy Schmidt,32,Male,06-11-2022,08-06-2024
69,Abigail Hester,61,Female,06-03-2021,13-08-2022
70,Vicki Kelley,59,Male,18-06-2021,05-09-2021
